EAC,GI,TM,the_date,hour
0.00900000000000034,0.216666666666667,23.95,2019-11-23,17
0.103,6.41666666666667,19.7333333333333,2019-11-24,6
2.527,152.483333333333,23.15,2019-11-24,7
5.836,350.733333333333,31.85,2019-11-24,8
8.424,510.55,35.85,2019-11-24,9
10.666,703.766666666667,42.6833333333333,2019-11-24,10
10.408,700.6,46.6666666666667,2019-11-24,11
10.885,736.35,47.4,2019-11-24,12
9.80200000000001,622.066666666667,42.8166666666667,2019-11-24,13
7.702,460.05,37.8166666666667,2019-11-24,14
4.402,279.25,33.4833333333333,2019-11-24,15
1.04899999999999,90.2166666666667,28.7333333333333,2019-11-24,16
0.0120000000000005,0.95,24.4666666666667,2019-11-24,17
0.044,4.18333333333333,19.0,2019-11-25,6
0.884,49.9666666666667,21.2,2019-11-25,7
1.838,103.166666666667,25.4166666666667,2019-11-25,8
4.424,254.266666666667,29.8,2019-11-25,9
10.527,682.2,42.2,2019-11-25,10
10.632,706.65,44.6666666666667,2019-11-25,11
10.753,715.716666666667,44.7166666666667,2019-11-25,12
9.811,619.383333333333,40.1666666666667,2019-11-25,13
7.931,474.433333333333,35.8666666666667,2019-11-25,14
4.252,266.433333333333,31.7333333333333,2019-11-25,15
1.04799999999999,77.3833333333333,26.7,2019-11-25,16
0.00600000000000023,0.483333333333333,23.4666666666667,2019-11-25,17
0.234,15.3,19.65,2019-11-26,6
1.862,148.033333333333,23.55,2019-11-26,7
6.189,378.0,32.0,2019-11-26,8
9.034,561.766666666667,39.6166666666667,2019-11-26,9
10.222,670.85,44.9166666666667,2019-11-26,10
10.806,726.916666666667,45.8833333333333,2019-11-26,11
10.532,702.65,45.1666666666667,2019-11-26,12
8.992,573.783333333333,43.1666666666667,2019-11-26,13
6.904,416.483333333333,37.2833333333333,2019-11-26,14
3.863,243.65,33.0333333333333,2019-11-26,15
0.970999999999989,67.6166666666667,27.25,2019-11-26,16
0.00900000000000034,0.6,23.9666666666667,2019-11-26,17
0.112,8.05,18.5666666666667,2019-11-27,6
1.302,188.366666666667,22.85,2019-11-27,7
4.017,239.7,26.8166666666667,2019-11-27,8
8.448,523.15,38.8,2019-11-27,9
11.106,744.5,46.2,2019-11-27,10
10.724,724.05,48.4166666666667,2019-11-27,11
9.601,629.85,47.7333333333333,2019-11-27,12
10.121,642.683333333333,42.8833333333333,2019-11-27,13
8.124,486.65,37.3,2019-11-27,14
2.809,161.383333333333,30.1833333333333,2019-11-27,15
0.933000000000007,64.7666666666667,26.2166666666667,2019-11-27,16
0.0200000000000102,0.816666666666667,22.8833333333333,2019-11-27,17
0.138,8.88333333333333,17.2666666666667,2019-11-28,6
1.318,162.083333333333,21.2166666666667,2019-11-28,7
6.821,426.983333333333,29.4166666666667,2019-11-28,8
10.147,618.966666666667,33.25,2019-11-28,9
11.691,747.166666666667,35.6833333333333,2019-11-28,10
12.314,802.15,36.7833333333333,2019-11-28,11
11.915,773.316666666667,37.9833333333333,2019-11-28,12
10.788,670.15,35.7,2019-11-28,13
8.52800000000001,502.033333333333,32.4666666666667,2019-11-28,14
4.77200000000001,301.716666666667,28.1833333333333,2019-11-28,15
1.017,89.0666666666667,22.9333333333333,2019-11-28,16
0.00699999999999079,0.533333333333333,18.8666666666667,2019-11-28,17
0.07,6.05,17.0333333333333,2019-11-29,6
1.015,58.9166666666667,19.2,2019-11-29,7
6.398,383.166666666667,27.7666666666667,2019-11-29,8
9.438,575.716666666667,35.0333333333333,2019-11-29,9
11.09,717.616666666667,39.7666666666667,2019-11-29,10
11.545,768.616666666667,42.4,2019-11-29,11
11.294,749.95,44.4333333333333,2019-11-29,12
10.328,653.683333333333,38.4833333333333,2019-11-29,13
7.626,461.35,33.6333333333333,2019-11-29,14
4.368,270.516666666667,29.6166666666667,2019-11-29,15
1.07499999999999,77.7,24.6833333333333,2019-11-29,16
0.0180000000000007,0.366666666666667,20.7666666666667,2019-11-29,17
0.149,8.61666666666667,15.0,2019-11-30,6
1.493,151.966666666667,19.1,2019-11-30,7
6.358,401.016666666667,31.2333333333333,2019-11-30,8
9.468,590.75,39.2833333333333,2019-11-30,9
10.66,700.966666666667,44.6166666666667,2019-11-30,10
11.282,761.033333333333,44.1333333333333,2019-11-30,11
10.663,700.3,41.4833333333333,2019-11-30,12
9.979,629.75,38.0333333333333,2019-11-30,13
7.901,478.683333333333,35.1833333333333,2019-11-30,14
4.28599999999999,267.533333333333,29.1166666666667,2019-11-30,15
1.04900000000001,73.5,24.0666666666667,2019-11-30,16
0.007000000000005,0.583333333333333,20.9166666666667,2019-11-30,17
0.095,6.86666666666667,19.0,2019-12-01,6
1.554,124.5,21.2333333333333,2019-12-01,7
6.423,414.866666666667,31.8,2019-12-01,8
9.653,609.15,39.4833333333333,2019-12-01,9
11.033,743.716666666667,47.2,2019-12-01,10
11.584,793.416666666667,45.2333333333333,2019-12-01,11
11.258,754.666666666667,43.9,2019-12-01,12
10.29,654.983333333333,39.9833333333333,2019-12-01,13
8.496,513.55,37.35,2019-12-01,14
4.65700000000001,300.033333333333,30.35,2019-12-01,15
1.125,99.0833333333333,25.5333333333333,2019-12-01,16
0.007000000000005,0.533333333333333,21.1,2019-12-01,17
0.092,6.33333333333333,17.2166666666667,2019-12-02,6
1.033,154.1,19.4666666666667,2019-12-02,7
6.912,442.35,26.2833333333333,2019-12-02,8
10.288,627.916666666667,29.9,2019-12-02,9
11.811,753.2,32.6333333333333,2019-12-02,10
12.536,809.7,31.8333333333333,2019-12-02,11
12.281,787.7,32.1666666666667,2019-12-02,12
11.092,684.183333333333,30.9333333333333,2019-12-02,13
8.816,512.683333333333,26.9833333333333,2019-12-02,14
4.929,309.433333333333,23.8166666666667,2019-12-02,15
1.06399999999999,99.9,19.7833333333333,2019-12-02,16
0.007000000000005,0.566666666666667,16.3,2019-12-02,17
0.0,1.5,15.0166666666667,2019-12-03,6
0.322,21.8833333333333,16.15,2019-12-03,7
1.498,81.8666666666667,17.8833333333333,2019-12-03,8
3.744,199.333333333333,21.5,2019-12-03,9
5.393,292.2,25.3166666666667,2019-12-03,10
8.31,499.716666666667,32.8166666666667,2019-12-03,11
10.415,661.883333333333,40.4666666666667,2019-12-03,12
9.526,582.7,35.4666666666667,2019-12-03,13
7.646,451.533333333333,33.7,2019-12-03,14
4.033,246.25,28.7833333333333,2019-12-03,15
0.854999999999997,60.8833333333333,21.95,2019-12-03,16
0.0069999999999979,0.35,18.3333333333333,2019-12-03,17
0.017,3.31666666666667,15.8833333333333,2019-12-04,6
1.119,63.4666666666667,18.0,2019-12-04,7
2.552,137.033333333333,21.4,2019-12-04,8
4.179,223.7,24.8333333333333,2019-12-04,9
6.483,355.866666666667,30.4833333333333,2019-12-04,10
6.135,331.233333333333,30.3666666666667,2019-12-04,11
6.194,338.816666666667,31.4166666666667,2019-12-04,12
4.186,220.366666666667,30.6166666666667,2019-12-04,13
2.068,107.316666666667,24.9166666666667,2019-12-04,14
1.226,62.7833333333333,21.9833333333333,2019-12-04,15
0.310000000000002,15.5333333333333,19.1,2019-12-04,16
0.018,1.4,15.0,2019-12-05,6
0.468,24.25,15.7166666666667,2019-12-05,7
2.35,110.05,18.4166666666667,2019-12-05,8
1.505,66.2166666666667,16.6833333333333,2019-12-05,9
2.155,92.65,16.3166666666667,2019-12-05,10
1.705,75.6,16.6166666666667,2019-12-05,11
1.691,73.9833333333333,16.9333333333333,2019-12-05,12
1.948,84.3833333333333,16.9333333333333,2019-12-05,13
1.245,55.2,16.1166666666667,2019-12-05,14
0.539,26.2666666666667,15.3333333333333,2019-12-05,15
0.156000000000001,9.13333333333333,15.0,2019-12-05,16
0.03,2.36666666666667,15.0,2019-12-06,6
0.63,29.6666666666667,15.4166666666667,2019-12-06,7
1.835,82.45,16.8166666666667,2019-12-06,8
2.92,128.516666666667,18.9833333333333,2019-12-06,9
2.446,104.0,17.1833333333333,2019-12-06,10
2.667,114.3,17.25,2019-12-06,11
2.861,122.3,17.9166666666667,2019-12-06,12
1.831,79.3333333333333,17.2,2019-12-06,13
1.55,69.0166666666667,17.2,2019-12-06,14
0.710000000000001,34.05,16.2833333333333,2019-12-06,15
0.207000000000001,11.9166666666667,15.7833333333333,2019-12-06,16
0.011,2.2,14.05,2019-12-07,6
0.516,28.7666666666667,15.0,2019-12-07,7
2.225,106.983333333333,17.1666666666667,2019-12-07,8
4.404,211.35,20.7166666666667,2019-12-07,9
5.865,293.616666666667,22.9333333333333,2019-12-07,10
7.708,408.4,25.8833333333333,2019-12-07,11
8.624,460.7,24.6,2019-12-07,12
9.999,548.716666666667,27.95,2019-12-07,13
8.637,451.55,25.8833333333333,2019-12-07,14
3.673,181.033333333333,21.2166666666667,2019-12-07,15
0.896999999999998,48.0333333333333,17.4166666666667,2019-12-07,16
0.0130000000000052,0.916666666666667,15.35,2019-12-07,17
0.092,5.53333333333333,9.85,2019-12-08,6
0.863,108.833333333333,12.3166666666667,2019-12-08,7
7.812,465.983333333333,26.05,2019-12-08,8
11.915,670.35,31.45,2019-12-08,9
13.269,810.95,37.6333333333333,2019-12-08,10
13.735,872.833333333333,41.5833333333333,2019-12-08,11
13.523,846.6,40.6833333333333,2019-12-08,12
12.385,734.083333333333,39.5833333333333,2019-12-08,13
10.303,554.383333333333,34.1833333333333,2019-12-08,14
6.19099999999999,339.433333333333,28.2166666666667,2019-12-08,15
1.355,117.15,22.8666666666667,2019-12-08,16
0.0139999999999958,1.1,17.5833333333333,2019-12-08,17
0.159,8.41666666666667,9.35,2019-12-09,6
1.95,122.55,13.75,2019-12-09,7
8.006,455.75,29.4833333333333,2019-12-09,8
9.029,499.166666666667,31.3333333333333,2019-12-09,9
8.507,483.35,31.65,2019-12-09,10
11.054,641.766666666667,37.05,2019-12-09,11
9.806,567.016666666667,33.25,2019-12-09,12
9.075,508.883333333333,33.9666666666667,2019-12-09,13
3.892,193.133333333333,27.0166666666667,2019-12-09,14
2.69500000000001,139.166666666667,25.5166666666667,2019-12-09,15
1.005,52.9833333333333,21.6833333333333,2019-12-09,16
0.0109999999999957,0.55,17.9166666666667,2019-12-09,17
0.158,9.45,14.05,2019-12-10,6
1.687,102.633333333333,17.6166666666667,2019-12-10,7
8.082,463.85,30.95,2019-12-10,8
11.394,661.7,38.9,2019-12-10,9
12.548,782.383333333333,45.7833333333333,2019-12-10,10
13.166,849.066666666667,46.35,2019-12-10,11
11.049,689.15,41.8666666666667,2019-12-10,12
11.157,659.7,40.5333333333333,2019-12-10,13
9.235,498.55,35.4,2019-12-10,14
5.452,296.6,27.8333333333333,2019-12-10,15
1.34299999999999,95.0666666666667,23.25,2019-12-10,16
0.0200000000000102,0.8,18.7,2019-12-10,17
0.068,3.61666666666667,11.5666666666667,2019-12-11,6
0.829,81.2166666666667,13.0833333333333,2019-12-11,7
7.318,453.0,24.7,2019-12-11,8
11.433,646.766666666667,33.1,2019-12-11,9
12.784,770.266666666667,36.6833333333333,2019-12-11,10
12.684,791.866666666667,39.95,2019-12-11,11
11.907,718.666666666667,36.1666666666667,2019-12-11,12
11.69,672.416666666667,33.6333333333333,2019-12-11,13
9.28,497.066666666667,31.9666666666667,2019-12-11,14
5.417,294.666666666667,28.55,2019-12-11,15
1.29600000000001,88.6166666666667,23.8666666666667,2019-12-11,16
0.0139999999999958,0.75,19.5833333333333,2019-12-11,17
0.072,3.43333333333333,12.0,2019-12-12,6
0.901,70.05,13.4666666666667,2019-12-12,7
6.933,438.75,26.8833333333333,2019-12-12,8
10.953,627.783333333333,36.6166666666667,2019-12-12,9
12.187,751.133333333333,41.6333333333333,2019-12-12,10
12.68,808.3,43.9,2019-12-12,11
12.297,773.416666666667,43.35,2019-12-12,12
11.05,653.55,39.4666666666667,2019-12-12,13
8.61699999999999,470.5,35.75,2019-12-12,14
5.17100000000001,285.616666666667,30.5,2019-12-12,15
1.271,87.6,24.7666666666667,2019-12-12,16
0.0120000000000005,0.816666666666667,20.0166666666667,2019-12-12,17
0.079,3.88333333333333,12.2666666666667,2019-12-13,6
1.365,76.5166666666667,14.1666666666667,2019-12-13,7
6.181,367.466666666667,25.1333333333333,2019-12-13,8
10.417,591.916666666667,36.8666666666667,2019-12-13,9
12.128,736.466666666667,38.65,2019-12-13,10
12.9,801.066666666667,37.5,2019-12-13,11
12.831,793.6,38.25,2019-12-13,12
11.783,695.783333333333,37.5666666666667,2019-12-13,13
9.56599999999999,518.6,33.4,2019-12-13,14
5.53700000000001,304.2,28.9666666666667,2019-12-13,15
1.26600000000001,89.85,23.0666666666667,2019-12-13,16
0.0190000000000055,0.966666666666667,19.3833333333333,2019-12-13,17
0.062,3.16666666666667,12.1833333333333,2019-12-14,6
0.987,55.25,13.8,2019-12-14,7
6.732,411.116666666667,26.4833333333333,2019-12-14,8
10.945,628.833333333333,36.1833333333333,2019-12-14,9
12.363,768.816666666667,42.8833333333333,2019-12-14,10
12.924,835.916666666667,45.7,2019-12-14,11
12.65,816.933333333333,47.1666666666667,2019-12-14,12
11.474,694.15,42.75,2019-12-14,13
9.32599999999999,512.45,37.6166666666667,2019-12-14,14
5.54600000000001,310.3,32.0666666666667,2019-12-14,15
1.28699999999999,109.233333333333,27.1166666666667,2019-12-14,16
0.0170000000000101,1.4,21.95,2019-12-14,17
0.062,3.61666666666667,16.35,2019-12-15,6
0.843,57.8,16.9666666666667,2019-12-15,7
6.435,417.383333333333,30.5333333333333,2019-12-15,8
10.642,618.566666666667,39.1333333333333,2019-12-15,9
12.229,760.65,42.2166666666667,2019-12-15,10
12.808,827.45,44.8666666666667,2019-12-15,11
12.488,796.116666666667,43.7333333333333,2019-12-15,12
11.473,681.933333333333,38.6166666666667,2019-12-15,13
9.54199999999999,522.016666666667,34.7,2019-12-15,14
5.65300000000001,313.383333333333,30.5166666666667,2019-12-15,15
1.312,106.2,25.8166666666667,2019-12-15,16
0.0169999999999959,0.916666666666667,20.6666666666667,2019-12-15,17
0.03,2.71666666666667,16.0,2019-12-16,6
1.106,53.95,17.3166666666667,2019-12-16,7
5.148,272.15,23.7333333333333,2019-12-16,8
10.093,575.55,39.1833333333333,2019-12-16,9
11.753,727.716666666667,44.4833333333333,2019-12-16,10
12.168,779.616666666667,46.0833333333333,2019-12-16,11
12.094,766.116666666667,44.2166666666667,2019-12-16,12
11.228,680.0,43.5333333333333,2019-12-16,13
9.176,513.483333333333,41.1,2019-12-16,14
5.35900000000001,306.1,34.2,2019-12-16,15
1.26000000000001,100.1,27.9666666666667,2019-12-16,16
0.019999999999996,1.26666666666667,22.6,2019-12-16,17
0.048,2.75,15.65,2019-12-17,6
0.676,44.95,16.9,2019-12-17,7
6.095,409.833333333333,30.6333333333333,2019-12-17,8
10.455,608.916666666667,38.65,2019-12-17,9
11.985,748.683333333333,43.25,2019-12-17,10
12.412,805.383333333333,46.2,2019-12-17,11
11.557,738.633333333333,47.55,2019-12-17,12
10.65,642.383333333333,45.7,2019-12-17,13
7.505,412.966666666667,38.7166666666667,2019-12-17,14
5.05499999999999,276.866666666667,33.7833333333333,2019-12-17,15
1.256,100.1,29.2666666666667,2019-12-17,16
0.0220000000000056,2.06666666666667,24.4,2019-12-17,17
0.033,2.71666666666667,17.0,2019-12-18,6
0.603,42.4666666666667,18.3166666666667,2019-12-18,7
5.9,408.233333333333,33.2,2019-12-18,8
10.13,590.533333333333,40.25,2019-12-18,9
11.806,731.216666666667,41.3666666666667,2019-12-18,10
12.125,764.8,41.55,2019-12-18,11
12.098,763.55,40.9666666666667,2019-12-18,12
11.235,680.233333333333,40.3833333333333,2019-12-18,13
8.798,486.933333333333,34.6,2019-12-18,14
5.32899999999999,299.666666666667,29.85,2019-12-18,15
1.354,93.6666666666667,25.5333333333333,2019-12-18,16
0.019999999999996,1.55,21.2666666666667,2019-12-18,17
0.036,2.13333333333333,16.1166666666667,2019-12-19,6
1.237,47.9833333333333,17.2833333333333,2019-12-19,7
5.75,315.333333333333,25.6333333333333,2019-12-19,8
9.899,568.016666666667,36.95,2019-12-19,9
11.065,677.5,41.05,2019-12-19,10
11.161,709.816666666667,41.05,2019-12-19,11
6.847,411.45,36.6,2019-12-19,12
2.605,131.116666666667,26.3166666666667,2019-12-19,13
2.651,135.15,25.8,2019-12-19,14
3.666,199.116666666667,26.2166666666667,2019-12-19,15
1.207,77.3,23.0833333333333,2019-12-19,16
0.0219999999999985,1.1,19.9666666666667,2019-12-19,17
0.078,4.78333333333333,16.0833333333333,2019-12-20,6
1.25,61.1666666666667,17.7833333333333,2019-12-20,7
3.674,196.483333333333,22.5,2019-12-20,8
8.759,484.983333333333,31.3333333333333,2019-12-20,9
10.478,610.75,33.4666666666667,2019-12-20,10
